RootImage,BotSum,HumanSum
AO1 Control 5-3 5,1,1
ACO1 Lithium 5-3 9,4,3
ACO1 Control 5-3 48,5,4
NCO1 Lithium 5-3 20,7,9
AO1 Lithium 5-3 37,1,3
NCO1 Lithium 5-3 17,3,5
CO1 Lithium 5-3 25,2,3
ACO1 Lithium 5-3 7,0,0
ACO1 Control 5-3 50,3,1
ACO1 Control 5-3 25,1,1
nCO1 Control 5-3 7,0,2
nCO1 Control 5-3 8,6,1
CO1 Lithium 5-3 35,5,6
CO1 Control 5-3 22,6,7
CO1 Lithium 5-3 5,2,3
ACO1 Lithium 5-3 18,3,3
NCO1 Lithium 5-3 35,3,3
NCO1 Lithium 5-3 6,4,3
nCO1 Control 5-3 35,6,1
CO1 Lithium 5-3 37,8,8
CO1 Lithium 5-3 33,7,10
ACO1 Lithium 5-3 35,2,1
nCO1 Control 5-3 29,2,2
AO1 Lithium 5-3 44,1,1
AO1 Lithium 5-3 45,2,2
CO1 Lithium 5-3 48,3,3
NCO1 Lithium 5-3 15,2,6
ACO1 Lithium 5-3 20,1,2
CO1 Control 5-3 14,0,0
CO1 Control 5-3 46,6,1
AO1 Lithium 5-3 21,4,3
ACO1 Control 5-3 31,4,5
CO1 Control 5-3 48,0,2
ACO1 Lithium 5-3 39,2,2
AO1 Lithium 5-3 8,0,0
nCO1 Control 5-3 17,2,0
CO1 Lithium 5-3 3,6,6
nCO1 Control 5-3 41,1,1
CO1 Lithium 5-3 42,0,0
AO1 Control 5-3 2,2,2
CO1 Control 5-3 28,2,1
CO1 Lithium 5-3 34,4,5
AO1 Control 5-3 28,1,1
ACO1 Lithium 5-3 41,1,0
AO1 Control 5-3 16,1,1
ACO1 Lithium 5-3 33,3,4
ACO1 Lithium 5-3 29,0,3
NCO1 Lithium 5-3 5,10,10
AO1 Lithium 5-3 16,2,1
CO1 Lithium 5-3 50,5,8
nCO1 Control 5-3 34,2,0
CO1 Control 5-3 40,6,2
ACO1 Control 5-3 12,4,4
AO1 Control 5-3 41,2,3
ACO1 Lithium 5-3 22,1,2
nCO1 Control 5-3 32,4,2
ACO1 Lithium 5-3 15,4,4
ACO1 Control 5-3 6,1,1
nCO1 Control 5-3 25,4,2
ACO1 Lithium 5-3 50,1,1
NCO1 Lithium 5-3 10,20,13
ACO1 Control 5-3 17,1,1
CO1 Control 5-3 42,6,6
CO1 Lithium 5-3 9,0,1
AO1 Lithium 5-3 36,6,7
CO1 Control 5-3 32,5,4
AO1 Control 5-3 12,5,6
ACO1 Lithium 5-3 13,0,0
CO1 Control 5-3 30,4,2
CO1 Lithium 5-3 15,4,3
CO1 Control 5-3 4,0,1
ACO1 Control 5-3 13,15,11
nCO1 Control 5-3 20,14,7
CO1 Control 5-3 15,7,3
CO1 Control 5-3 10,7,6
AO1 Control 5-3 7,1,0
AO1 Lithium 5-3 15,0,0
CO1 Control 5-3 35,9,4
NCO1 Lithium 5-3 47,5,4
ACO1 Lithium 5-3 43,0,0
ACO1 Control 5-3 7,0,0
CO1 Control 5-3 16,9,5
NCO1 Lithium 5-3 18,15,13
nCO1 Control 5-3 37,4,4
NCO1 Lithium 5-3 2,1,2
CO1 Lithium 5-3 24,5,5
ACO1 Control 5-3 10,4,3
NCO1 Lithium 5-3 36,21,16
ACO1 Lithium 5-3 14,0,0
ACO1 Lithium 5-3 5,0,0
ACO1 Lithium 5-3 19,4,3
AO1 Control 5-3 36,0,0
nCO1 Control 5-3 10,17,9
CO1 Control 5-3 8,6,2
ACO1 Lithium 5-3 48,0,4
CO1 Control 5-3 37,2,0
ACO1 Control 5-3 46,2,1
AO1 Lithium 5-3 1,3,2
CO1 Lithium 5-3 23,10,4
nCO1 Control 5-3 45,1,0
NCO1 Lithium 5-3 13,8,7
ACO1 Control 5-3 38,0,0
CO1 Control 5-3 45,3,5
AO1 Lithium 5-3 30,6,6
AO1 Lithium 5-3 33,0,0
nCO1 Control 5-3 6,4,2
ACO1 Lithium 5-3 4,0,0
ACO1 Control 5-3 27,1,1
ACO1 Control 5-3 23,14,10
CO1 Control 5-3 6,6,5
AO1 Lithium 5-3 18,0,0
AO1 Control 5-3 39,10,13
NCO1 Lithium 5-3 44,6,5
ACO1 Control 5-3 28,5,4
CO1 Control 5-3 9,5,2
nCO1 Control 5-3 31,2,1
AO1 Lithium 5-3 26,4,4
AO1 Control 5-3 40,1,1
ACO1 Lithium 5-3 44,9,7
CO1 Control 5-3 39,5,1
AO1 Lithium 5-3 42,7,7
AO1 Control 5-3 46,11,10
NCO1 Lithium 5-3 14,7,7
AO1 Lithium 5-3 22,1,2
ACO1 Control 5-3 15,11,3
AO1 Lithium 5-3 14,2,1
ACO1 Lithium 5-3 16,5,7
AO1 Lithium 5-3 48,3,3
