RootImage,BotSum,HumanSum
AO1 Control 5-3 5,0,1
ACO1 Lithium 5-3 9,4,3
ACO1 Control 5-3 48,2,4
NCO1 Lithium 5-3 20,3,9
AO1 Lithium 5-3 37,2,3
NCO1 Lithium 5-3 17,1,5
CO1 Lithium 5-3 25,2,3
ACO1 Lithium 5-3 7,0,0
ACO1 Control 5-3 50,1,1
ACO1 Control 5-3 25,1,1
nCO1 Control 5-3 7,2,2
nCO1 Control 5-3 8,3,1
CO1 Lithium 5-3 35,2,6
CO1 Control 5-3 22,0,7
CO1 Lithium 5-3 5,2,3
ACO1 Lithium 5-3 18,3,3
NCO1 Lithium 5-3 35,0,3
NCO1 Lithium 5-3 6,2,3
nCO1 Control 5-3 35,4,1
CO1 Lithium 5-3 37,5,8
CO1 Lithium 5-3 33,6,10
ACO1 Lithium 5-3 35,1,1
nCO1 Control 5-3 29,0,2
AO1 Lithium 5-3 44,1,1
AO1 Lithium 5-3 45,2,2
CO1 Lithium 5-3 48,4,3
NCO1 Lithium 5-3 15,2,6
ACO1 Lithium 5-3 20,1,2
CO1 Control 5-3 14,0,0
CO1 Control 5-3 46,0,1
AO1 Lithium 5-3 21,4,3
ACO1 Control 5-3 31,1,5
CO1 Control 5-3 48,0,2
ACO1 Lithium 5-3 39,2,2
AO1 Lithium 5-3 8,0,0
nCO1 Control 5-3 17,2,0
CO1 Lithium 5-3 3,2,6
nCO1 Control 5-3 41,1,1
CO1 Lithium 5-3 42,0,0
AO1 Control 5-3 2,2,2
CO1 Control 5-3 28,0,1
CO1 Lithium 5-3 34,4,5
AO1 Control 5-3 28,1,1
ACO1 Lithium 5-3 41,0,0
AO1 Control 5-3 16,0,1
ACO1 Lithium 5-3 33,3,4
ACO1 Lithium 5-3 29,1,3
NCO1 Lithium 5-3 5,4,10
AO1 Lithium 5-3 16,0,1
CO1 Lithium 5-3 50,3,8
nCO1 Control 5-3 34,0,0
CO1 Control 5-3 40,3,2
ACO1 Control 5-3 12,0,4
AO1 Control 5-3 41,2,3
ACO1 Lithium 5-3 22,1,2
nCO1 Control 5-3 32,3,2
ACO1 Lithium 5-3 15,3,4
ACO1 Control 5-3 6,1,1
nCO1 Control 5-3 25,4,2
ACO1 Lithium 5-3 50,0,1
NCO1 Lithium 5-3 10,11,13
ACO1 Control 5-3 17,0,1
CO1 Control 5-3 42,0,6
CO1 Lithium 5-3 9,0,1
AO1 Lithium 5-3 36,2,7
CO1 Control 5-3 32,3,4
AO1 Control 5-3 12,4,6
ACO1 Lithium 5-3 13,0,0
CO1 Control 5-3 30,3,2
CO1 Lithium 5-3 15,2,3
CO1 Control 5-3 4,0,1
ACO1 Control 5-3 13,12,11
nCO1 Control 5-3 20,10,7
CO1 Control 5-3 15,2,3
CO1 Control 5-3 10,6,6
AO1 Control 5-3 7,1,0
AO1 Lithium 5-3 15,0,0
CO1 Control 5-3 35,10,4
NCO1 Lithium 5-3 47,5,4
ACO1 Lithium 5-3 43,0,0
ACO1 Control 5-3 7,0,0
CO1 Control 5-3 16,4,5
NCO1 Lithium 5-3 18,13,13
nCO1 Control 5-3 37,4,4
NCO1 Lithium 5-3 2,1,2
CO1 Lithium 5-3 24,4,5
ACO1 Control 5-3 10,3,3
NCO1 Lithium 5-3 36,11,16
ACO1 Lithium 5-3 14,0,0
ACO1 Lithium 5-3 5,0,0
ACO1 Lithium 5-3 19,3,3
AO1 Control 5-3 36,0,0
nCO1 Control 5-3 10,13,9
CO1 Control 5-3 8,6,2
ACO1 Lithium 5-3 48,0,4
CO1 Control 5-3 37,2,0
ACO1 Control 5-3 46,0,1
AO1 Lithium 5-3 1,2,2
CO1 Lithium 5-3 23,3,4
nCO1 Control 5-3 45,0,0
NCO1 Lithium 5-3 13,8,7
ACO1 Control 5-3 38,0,0
CO1 Control 5-3 45,4,5
AO1 Lithium 5-3 30,6,6
AO1 Lithium 5-3 33,0,0
nCO1 Control 5-3 6,0,2
ACO1 Lithium 5-3 4,0,0
ACO1 Control 5-3 27,0,1
ACO1 Control 5-3 23,9,10
CO1 Control 5-3 6,0,5
AO1 Lithium 5-3 18,0,0
AO1 Control 5-3 39,12,13
NCO1 Lithium 5-3 44,6,5
ACO1 Control 5-3 28,2,4
CO1 Control 5-3 9,2,2
nCO1 Control 5-3 31,0,1
AO1 Lithium 5-3 26,3,4
AO1 Control 5-3 40,1,1
ACO1 Lithium 5-3 44,7,7
CO1 Control 5-3 39,2,1
AO1 Lithium 5-3 42,8,7
AO1 Control 5-3 46,7,10
NCO1 Lithium 5-3 14,6,7
AO1 Lithium 5-3 22,1,2
ACO1 Control 5-3 15,4,3
AO1 Lithium 5-3 14,0,1
ACO1 Lithium 5-3 16,2,7
AO1 Lithium 5-3 48,1,3
CO1 Lithium 5-3 30,1,2
nCO1 Control 5-3 14,3,4
nCO1 Control 5-3 19,21,15
AO1 Lithium 5-3 6,0,0
NCO1 Lithium 5-3 26,0,0
AO1 Lithium 5-3 35,0,0
CO1 Control 5-3 34,1,1
NCO1 Lithium 5-3 25,0,3
NCO1 Lithium 5-3 32,2,2
CO1 Control 5-3 21,1,1
NCO1 Lithium 5-3 3,0,0
nCO1 Control 5-3 36,0,0
CO1 Lithium 5-3 10,0,1
AO1 Control 5-3 29,0,0
ACO1 Lithium 5-3 42,4,4
ACO1 Control 5-3 10(1),4,5
AO1 Lithium 5-3 11,8,6
AO1 Control 5-3 47,0,0
CO1 Lithium 5-3 11,9,12
nCO1 Control 5-3 12,0,0
ACO1 Control 5-3 41,0,0
ACO1 Lithium 5-3 3,3,3
ACO1 Lithium 5-3 2,0,0
ACO1 Control 5-3 21,3,4
ACO1 Control 5-3 16,7,6
NCO1 Lithium 5-3 37,0,0
ACO1 Control 5-3 43,0,0
CO1 Lithium 5-3 2,3,3
CO1 Lithium 5-3 21,2,5
AO1 Control 5-3 42,0,0
ACO1 Control 5-3 36,3,5
CO1 Lithium 5-3 8,1,6
AO1 Control 5-3 34,1,2
nCO1 Control 5-3 2,8,6
AO1 Lithium 5-3 3,0,0
CO1 Lithium 5-3 26,1,2
AO1 Lithium 5-3 47,9,12
ACO1 Lithium 5-3 46,0,0
AO1 Control 5-3 48,0,0
ACO1 Lithium 5-3 25,2,4
nCO1 Control 5-3 27,4,1
CO1 Control 5-3 44,0,0
AO1 Control 5-3 15,6,9
CO1 Lithium 5-3 39,4,7
nCO1 Control 5-3 43,3,5
nCO1 Control 5-3 22,0,1
nCO1 Control 5-3 35(1),1,1
NCO1 Lithium 5-3 21,2,3
NCO1 Lithium 5-3 23,10,10
CO1 Control 5-3 12,4,4
NCO1 Lithium 5-3 48,2,5
AO1 Control 5-3 13,4,3
AO1 Lithium 5-3 41,2,2
NCO1 Lithium 5-3 39,5,8
nCO1 Control 5-3 5,2,0
nCO1 Control 5-3 21,4,1
ACO1 Control 5-3 5,0,1
AO1 Lithium 5-3 34,1,1
nCO1 Control 5-3 23,6,7
AO1 Lithium 5-3 9,3,2
ACO1 Control 5-3 44,1,1
AO1 Control 5-3 49,3,2
nCO1 Control 5-3 24,3,4
ACO1 Control 5-3 22,0,0
CO1 Control 5-3 27,0,0
ACO1 Lithium 5-3 45,1,3
AO1 Control 5-3 31,1,1
NCO1 Lithium 5-3 4,3,6
AO1 Control 5-3 30,0,0
CO1 Control 5-3 3,4,4
NCO1 Lithium 5-3 16,10,7
CO1 Lithium 5-3 17,5,6
AO1 Lithium 5-3 7,1,3
CO1 Control 5-3 29,0,1
AO1 Lithium 5-3 17,5,6
CO1 Lithium 5-3 36,1,6
CO1 Lithium 5-3 15(1),5,9
AO1 Lithium 5-3 40,0,0
ACO1 Lithium 5-3 8,1,1
AO1 Lithium 5-3 25,4,7
nCO1 Control 5-3 38,18,16
AO1 Control 5-3 9,2,3
ACO1 Control 5-3 11,0,0
CO1 Lithium 5-3 22,1,3
CO1 Control 5-3 26,2,2
NCO1 Lithium 5-3 50,9,11
ACO1 Control 5-3 40,1,0
ACO1 Lithium 5-3 11,0,0
ACO1 Control 5-3 26,8,6
AO1 Lithium 5-3 49,3,8
CO1 Lithium 5-3 7,0,1
ACO1 Control 5-3 19,5,9
nCO1 Control 5-3 39,1,0
AO1 Lithium 5-3 20,0,1
nCO1 Control 5-3 48,4,3
ACO1 Control 5-3 38(1),2,3
ACO1 Control 5-3 39,0,1
nCO1 Control 5-3 50,3,4
CO1 Lithium 5-3 1,0,1
ACO1 Lithium 5-3 17,1,4
ACO1 Control 5-3 35,2,1
AO1 Control 5-3 18,0,0
AO1 Lithium 5-3 5,1,1
AO1 Lithium 5-3 50,0,0
CO1 Control 5-3 38,3,3
ACO1 Control 5-3 2,1,0
NCO1 Lithium 5-3 11,7,10
CO1 Lithium 5-3 40,0,0
CO1 Lithium 5-3 18,1,1
ACO1 Control 5-3 33,1,2
AO1 Lithium 5-3 38,4,5
CO1 Control 5-3 24,3,3
AO1 Control 5-3 22,6,5
AO1 Control 5-3 44,3,4
NCO1 Lithium 5-3 38,10,21
CO1 Lithium 5-3 38,5,5
AO1 Lithium 5-3 24,0,0
AO1 Control 5-3 33,1,1
NCO1 Lithium 5-3 45,13,18
AO1 Lithium 5-3 43,5,7
AO1 Control 5-3 37,0,0
NCO1 Lithium 5-3 31,2,1
AO1 Control 5-3 38,2,2
CO1 Lithium 5-3 41,2,6
AO1 Control 5-3 8,3,3
CO1 Control 5-3 41,1,2
CO1 Lithium 5-3 13,1,1
NCO1 Lithium 5-3 29,2,5
AO1 Lithium 5-3 31,4,6
CO1 Lithium 5-3 27,5,8
CO1 Lithium 5-3 32,0,3
NCO1 Lithium 5-3 40,4,5
ACO1 Control 5-3 20,1,6
AO1 Control 5-3 26,0,1
AO1 Lithium 5-3 10,3,2
ACO1 Lithium 5-3 1,1,1
AO1 Control 5-3 20,0,0
ACO1 Lithium 5-3 36,2,1
CO1 Lithium 5-3 44,0,0
CO1 Control 5-3 7,0,0
CO1 Control 5-3 23,0,0
CO1 Control 5-3 20,1,1
NCO1 Lithium 5-3 27,2,1
CO1 Lithium 5-3 17(1),9,8
ACO1 Control 5-3 29,0,0
AO1 Lithium 5-3 39,1,1
NCO1 Lithium 5-3 22,2,1
AO1 Lithium 5-3 4,1,2
NCO1 Lithium 5-3 1,3,3
AO1 Control 5-3 27,0,1
ACO1 Lithium 5-3 38,5,6
CO1 Lithium 5-3 29,0,2
NCO1 Lithium 5-3 7,4,4
nCO1 Control 5-3 49,0,0
ACO1 Lithium 5-3 27,0,0
AO1 Lithium 5-3 2,0,0
AO1 Lithium 5-3 12,5,4
nCO1 Control 5-3 11,10,8
NCO1 Lithium 5-3 42,10,16
NCO1 Lithium 5-3 46,14,15
ACO1 Lithium 5-3 31,1,1
ACO1 Lithium 5-3 21,1,2
NCO1 Lithium 5-3 9,5,9
NCO1 Lithium 5-3 19,6,8
AO1 Lithium 5-3 29,6,4
ACO1 Lithium 5-3 37,0,0
NCO1 Lithium 5-3 12,4,6
CO1 Lithium 5-3 46,5,5
CO1 Lithium 5-3 47,2,1
AO1 Control 5-3 50,0,0
nCO1 Control 5-3 15,9,6
AO1 Control 5-3 35,1,2
CO1 Lithium 5-3 19,1,2
CO1 Lithium 5-3 43,0,0
ACO1 Lithium 5-3 26,0,2
NCO1 Lithium 5-3 33,4,9
ACO1 Lithium 5-3 6,1,1
CO1 Lithium 5-3 12,0,0
AO1 Control 5-3 14,0,1
NCO1 Lithium 5-3 49,4,4
CO1 Lithium 5-3 20,2,5
ACO1 Lithium 5-3 23,1,4
AO1 Control 5-3 21,0,0
NCO1 Lithium 5-3 28,0,0
