RootImage,BotSum,HumanSum
AO1 Control 5-3 5,0,1
ACO1 Lithium 5-3 9,3,3
ACO1 Control 5-3 48,1,4
NCO1 Lithium 5-3 20,8,9
AO1 Lithium 5-3 37,1,3
NCO1 Lithium 5-3 17,1,5
CO1 Lithium 5-3 25,0,3
ACO1 Lithium 5-3 7,0,0
ACO1 Control 5-3 50,1,1
ACO1 Control 5-3 25,3,1
nCO1 Control 5-3 7,4,2
nCO1 Control 5-3 8,1,1
CO1 Lithium 5-3 35,3,6
CO1 Control 5-3 22,1,7
CO1 Lithium 5-3 5,1,3
ACO1 Lithium 5-3 18,2,3
NCO1 Lithium 5-3 35,3,3
NCO1 Lithium 5-3 6,3,3
nCO1 Control 5-3 35,3,1
CO1 Lithium 5-3 37,8,8
CO1 Lithium 5-3 33,2,10
ACO1 Lithium 5-3 35,2,1
nCO1 Control 5-3 29,1,2
AO1 Lithium 5-3 44,2,1
AO1 Lithium 5-3 45,6,2
CO1 Lithium 5-3 48,4,3
NCO1 Lithium 5-3 15,1,6
ACO1 Lithium 5-3 20,2,2
CO1 Control 5-3 14,0,0
CO1 Control 5-3 46,7,1
AO1 Lithium 5-3 21,4,3
ACO1 Control 5-3 31,1,5
CO1 Control 5-3 48,0,2
ACO1 Lithium 5-3 39,3,2
AO1 Lithium 5-3 8,1,0
nCO1 Control 5-3 17,1,0
CO1 Lithium 5-3 3,3,6
nCO1 Control 5-3 41,1,1
CO1 Lithium 5-3 42,0,0
AO1 Control 5-3 2,2,2
CO1 Control 5-3 28,6,1
CO1 Lithium 5-3 34,2,5
AO1 Control 5-3 28,1,1
ACO1 Lithium 5-3 41,0,0
AO1 Control 5-3 16,1,1
ACO1 Lithium 5-3 33,2,4
ACO1 Lithium 5-3 29,2,3
NCO1 Lithium 5-3 5,7,10
AO1 Lithium 5-3 16,0,1
CO1 Lithium 5-3 50,5,8
nCO1 Control 5-3 34,1,0
CO1 Control 5-3 40,6,2
ACO1 Control 5-3 12,2,4
AO1 Control 5-3 41,2,3
ACO1 Lithium 5-3 22,2,2
nCO1 Control 5-3 32,5,2
ACO1 Lithium 5-3 15,1,4
ACO1 Control 5-3 6,1,1
nCO1 Control 5-3 25,7,2
ACO1 Lithium 5-3 50,1,1
NCO1 Lithium 5-3 10,9,13
ACO1 Control 5-3 17,1,1
CO1 Control 5-3 42,3,6
CO1 Lithium 5-3 9,0,1
AO1 Lithium 5-3 36,7,7
CO1 Control 5-3 32,6,4
AO1 Control 5-3 12,4,6
ACO1 Lithium 5-3 13,0,0
CO1 Control 5-3 30,3,2
CO1 Lithium 5-3 15,3,3
CO1 Control 5-3 4,0,1
ACO1 Control 5-3 13,17,11
nCO1 Control 5-3 20,24,7
CO1 Control 5-3 15,2,3
CO1 Control 5-3 10,5,6
AO1 Control 5-3 7,2,0
AO1 Lithium 5-3 15,0,0
CO1 Control 5-3 35,7,4
NCO1 Lithium 5-3 47,8,4
ACO1 Lithium 5-3 43,0,0
ACO1 Control 5-3 7,0,0
CO1 Control 5-3 16,0,5
NCO1 Lithium 5-3 18,19,13
nCO1 Control 5-3 37,4,4
NCO1 Lithium 5-3 2,3,2
CO1 Lithium 5-3 24,4,5
ACO1 Control 5-3 10,3,3
NCO1 Lithium 5-3 36,14,16
ACO1 Lithium 5-3 14,0,0
ACO1 Lithium 5-3 5,1,0
ACO1 Lithium 5-3 19,7,3
AO1 Control 5-3 36,1,0
nCO1 Control 5-3 10,18,9
CO1 Control 5-3 8,6,2
ACO1 Lithium 5-3 48,0,4
CO1 Control 5-3 37,1,0
ACO1 Control 5-3 46,1,1
AO1 Lithium 5-3 1,2,2
CO1 Lithium 5-3 23,3,4
nCO1 Control 5-3 45,1,0
NCO1 Lithium 5-3 13,4,7
ACO1 Control 5-3 38,0,0
CO1 Control 5-3 45,5,5
AO1 Lithium 5-3 30,6,6
AO1 Lithium 5-3 33,0,0
nCO1 Control 5-3 6,4,2
ACO1 Lithium 5-3 4,0,0
ACO1 Control 5-3 27,1,1
ACO1 Control 5-3 23,16,10
CO1 Control 5-3 6,6,5
AO1 Lithium 5-3 18,1,0
AO1 Control 5-3 39,11,13
NCO1 Lithium 5-3 44,10,5
ACO1 Control 5-3 28,3,4
CO1 Control 5-3 9,4,2
nCO1 Control 5-3 31,1,1
AO1 Lithium 5-3 26,4,4
AO1 Control 5-3 40,2,1
ACO1 Lithium 5-3 44,6,7
CO1 Control 5-3 39,2,1
AO1 Lithium 5-3 42,5,7
AO1 Control 5-3 46,5,10
NCO1 Lithium 5-3 14,3,7
AO1 Lithium 5-3 22,2,2
ACO1 Control 5-3 15,14,3
AO1 Lithium 5-3 14,2,1
ACO1 Lithium 5-3 16,2,7
AO1 Lithium 5-3 48,2,3
CO1 Lithium 5-3 30,2,2
nCO1 Control 5-3 14,6,4
nCO1 Control 5-3 19,24,15
AO1 Lithium 5-3 6,0,0
NCO1 Lithium 5-3 26,0,0
AO1 Lithium 5-3 35,0,0
CO1 Control 5-3 34,1,1
NCO1 Lithium 5-3 25,1,3
NCO1 Lithium 5-3 32,5,2
CO1 Control 5-3 21,2,1
NCO1 Lithium 5-3 3,0,0
