Image,Part,Count,Whitespace
ACO4 Lithium 5-19 32,59,4,False
ACO4 Lithium 5-19 42,45,0,False
AO4 Control 5-19 24,74,0,False
AO4 Control 5-19 39,6,0,False
AO4 Control 5-19 39,22,0,False
AO4 Control 5-19 41,54,3,False
AO4 Control 5-19 50,15,0,False
AO4 Control 5-19 50,16,0,False
AO4 Lithium 5-19 12,50,0,False
CO4 Control 5-19 2,63,4,False
CO4 Control 5-19 4,17,6,False
CO4 Control 5-19 4,18,7,False
CO4 Control 5-19 7,23,3,False
CO4 Control 5-19 7,24,5,False
CO4 Control 5-19 7,33,6,False
CO4 Control 5-19 7,35,2,False
CO4 Control 5-19 7,43,3,False
CO4 Control 5-19 7,60,1,False
CO4 Control 5-19 8,50,1,False
CO4 Control 5-19 9,14,6,False
CO4 Control 5-19 9,18,5,False
CO4 Control 5-19 9,28,4,False
CO4 Control 5-19 11,50,0,False
CO4 Control 5-19 12,5,2,False
CO4 Control 5-19 12,6,0,False
CO4 Control 5-19 12,13,7,False
CO4 Control 5-19 24,14,4,False
CO4 Control 5-19 24,15,4,False
CO4 Control 5-19 25,14,0,False
CO4 Control 5-19 26,35,5,False
CO4 Control 5-19 26,38,4,False
CO4 Control 5-19 26,67,3,False
CO4 Control 5-19 29,86,3,False
CO4 Control 5-19 30,28,8,False
CO4 Control 5-19 30,29,7,False
CO4 Control 5-19 30,50,5,False
CO4 Control 5-19 30,58,4,False
CO4 Control 5-19 30,59,5,False
CO4 Control 5-19 30,60,6,False
CO4 Control 5-19 34,29,9,False
CO4 Control 5-19 36,50,0,False
CO4 Control 5-19 36,60,0,False
CO4 Control 5-19 37,12,0,False
CO4 Control 5-19 37,17,6,False
CO4 Control 5-19 37,22,0,False
CO4 Control 5-19 37,39,7,False
CO4 Control 5-19 37,41,2,False
CO4 Control 5-19 37,49,6,False
CO4 Control 5-19 37,51,1,False
CO4 Control 5-19 39,22,0,False
CO4 Control 5-19 48,17,3,False
CO4 Control 5-19 48,36,4,False
CO4 Control 5-19 48,45,4,False
CO4 Control 5-19 48,46,11,False
CO4 Control 5-19 48,64,6,False
CO4 Lithium 5-19 3,17,8,False
CO4 Lithium 5-19 4,52,11,False
CO4 Lithium 5-19 5,80,1,False
CO4 Lithium 5-19 5,89,2,False
CO4 Lithium 5-19 5,98,1,False
CO4 Lithium 5-19 9,42,14,False
CO4 Lithium 5-19 9,43,9,False
CO4 Lithium 5-19 10,49,8,False
CO4 Lithium 5-19 15,15,7,False
CO4 Lithium 5-19 15,25,5,False
CO4 Lithium 5-19 24,49,19,False
CO4 Lithium 5-19 29,28,7,False
CO4 Lithium 5-19 31,56,7,False
CO4 Lithium 5-19 39,18,10,False
CO4 Lithium 5-19 40,72,19,False
nCO4 Control 5-19 1,16,4,False
nCO4 Control 5-19 1,17,5,False
nCO4 Control 5-19 1,18,10,False
nCO4 Control 5-19 1,29,6,False
nCO4 Control 5-19 1,39,6,False
nCO4 Control 5-19 1,42,0,False
nCO4 Control 5-19 1,49,3,False
nCO4 Control 5-19 6,32,0,False
nCO4 Control 5-19 6,33,0,False
nCO4 Control 5-19 11,65,5,False
nCO4 Control 5-19 11,68,10,False
nCO4 Control 5-19 11,76,6,False
nCO4 Control 5-19 11,77,5,False
nCO4 Control 5-19 15,95,8,False
nCO4 Control 5-19 15,96,8,False
nCO4 Control 5-19 19,39,5,False
nCO4 Control 5-19 19,46,6,False
nCO4 Control 5-19 19,55,3,False
nCO4 Control 5-19 19,75,5,False
nCO4 Control 5-19 19,85,7,False
nCO4 Control 5-19 19,86,7,False
nCO4 Control 5-19 20,16,6,False
nCO4 Control 5-19 20,27,10,False
nCO4 Control 5-19 22,41,7,False
nCO4 Control 5-19 22,62,4,False
nCO4 Control 5-19 22,74,4,False
nCO4 Control 5-19 23,61,7,False
nCO4 Control 5-19 23,72,5,False
nCO4 Control 5-19 24,87,10,False
nCO4 Control 5-19 31,62,5,False
nCO4 Control 5-19 32,86,3,False
nCO4 Control 5-19 35,29,7,False
nCO4 Control 5-19 35,34,4,False
nCO4 Control 5-19 39,51,0,False
nCO4 Control 5-19 39,88,7,False
nCO4 Control 5-19 39,96,5,False
nCO4 Control 5-19 40,73,6,False
nCO4 Control 5-19 41,74,3,False
nCO4 Control 5-19 42,84,5,False
nCO4 Control 5-19 42,85,5,False
nCO4 Control 5-19 43,15,3,False
nCO4 Control 5-19 43,17,7,False
nCO4 Control 5-19 43,24,4,False
nCO4 Control 5-19 43,59,1,False
nCO4 Control 5-19 44,42,3,False
nCO4 Control 5-19 46,4,6,False
nCO4 Control 5-19 46,15,4,False
nCO4 Control 5-19 46,75,1,False
nCO4 Lithium 5-19 1,37,15,False
nCO4 Lithium 5-19 12,14,8,False
nCO4 Lithium 5-19 12,15,5,False
nCO4 Lithium 5-19 12,32,10,False
nCO4 Lithium 5-19 14,52,11,False
nCO4 Lithium 5-19 14,62,11,False
nCO4 Lithium 5-19 20,22,16,False
nCO4 Lithium 5-19 20,31,8,False
nCO4 Lithium 5-19 20,32,15,False
nCO4 Lithium 5-19 36,4,0,False
nCO4 Lithium 5-19 39,17,9,False
nCO4 Lithium 5-19 44,64,7,False
nCO4 Lithium 5-19 44,75,8,False
nCO4 Lithium 5-19 46,77,8,False
nCO4 Lithium 5-19 47,76,5,False
nCO4 Lithium 5-19 49,43,4,False
