Image,Part,Count,Whitespace
ACO4 Control 5-11 39,75,7,False
ACO4 Control 5-11 49,4,4,False
ACO4 Control 5-11 49,5,0,False
ACO4 Lithium 5-11 30,80,0,False
ACO4 Lithium 5-11 30,89,0,False
ACO4 Lithium 5-11 34,15,6,False
AO4 Control 5-11 48,58,11,False
AO4 Control 5-11 48,76,7,False
AO4 Lithium 5-11 42,59,2,False
CO4 Control 5-11 1,86,9,False
CO4 Control 5-11 2,85,11,False
CO4 Control 5-11 2,86,11,False
CO4 Control 5-11 3,16,9,False
CO4 Control 5-11 5,17,11,False
CO4 Control 5-11 5,23,16,False
CO4 Control 5-11 7,68,6,False
CO4 Control 5-11 9,50,12,False
CO4 Control 5-11 11,5,12,False
CO4 Control 5-11 12,53,6,False
CO4 Control 5-11 12,75,6,False
CO4 Control 5-11 12,86,8,False
CO4 Control 5-11 14,42,3,False
CO4 Control 5-11 14,59,4,False
CO4 Control 5-11 14,63,5,False
CO4 Control 5-11 14,68,5,False
CO4 Control 5-11 14,69,9,False
CO4 Control 5-11 14,78,7,False
CO4 Control 5-11 14,79,5,False
CO4 Control 5-11 14,87,5,False
CO4 Control 5-11 15,17,10,False
CO4 Control 5-11 15,27,6,False
CO4 Control 5-11 15,28,9,False
CO4 Control 5-11 16,32,10,False
CO4 Control 5-11 18,49,9,False
CO4 Control 5-11 18,59,9,False
CO4 Control 5-11 18,69,9,False
CO4 Control 5-11 19,28,6,False
CO4 Control 5-11 19,29,8,False
CO4 Control 5-11 19,49,12,False
CO4 Control 5-11 19,59,6,False
CO4 Control 5-11 23,22,7,False
CO4 Control 5-11 23,59,10,False
CO4 Control 5-11 23,78,6,False
CO4 Control 5-11 24,85,6,False
CO4 Control 5-11 25,77,4,False
CO4 Control 5-11 26,52,11,False
CO4 Control 5-11 26,62,10,False
CO4 Control 5-11 29,29,6,False
CO4 Control 5-11 29,60,8,False
CO4 Control 5-11 32,74,9,False
CO4 Control 5-11 32,75,9,False
CO4 Control 5-11 32,76,14,False
CO4 Control 5-11 32,77,7,False
CO4 Control 5-11 34,14,13,False
CO4 Control 5-11 34,52,11,False
CO4 Control 5-11 36,23,8,False
CO4 Control 5-11 36,49,7,False
CO4 Control 5-11 36,63,6,False
CO4 Control 5-11 37,63,6,False
CO4 Control 5-11 37,69,11,False
CO4 Control 5-11 37,78,14,False
CO4 Control 5-11 37,79,11,False
CO4 Control 5-11 41,18,10,False
CO4 Control 5-11 41,68,8,False
CO4 Control 5-11 43,32,6,False
CO4 Control 5-11 43,38,5,False
CO4 Control 5-11 43,52,5,False
CO4 Control 5-11 43,62,10,False
CO4 Control 5-11 43,74,6,False
CO4 Control 5-11 45,22,7,False
CO4 Control 5-11 45,88,10,False
CO4 Control 5-11 46,83,10,False
CO4 Control 5-11 47,7,11,False
CO4 Control 5-11 47,12,7,False
CO4 Control 5-11 47,18,11,False
CO4 Control 5-11 47,22,4,False
CO4 Control 5-11 48,4,11,False
CO4 Lithium 5-11 3,74,7,False
CO4 Lithium 5-11 4,57,6,False
CO4 Lithium 5-11 4,77,7,False
CO4 Lithium 5-11 8,49,7,False
CO4 Lithium 5-11 9,74,8,False
CO4 Lithium 5-11 9,76,8,False
CO4 Lithium 5-11 9,84,7,False
CO4 Lithium 5-11 9,85,12,False
CO4 Lithium 5-11 9,86,11,False
CO4 Lithium 5-11 14,76,7,False
CO4 Lithium 5-11 15,84,6,False
CO4 Lithium 5-11 15,85,5,False
CO4 Lithium 5-11 16,47,5,False
CO4 Lithium 5-11 16,56,4,False
CO4 Lithium 5-11 17,77,5,False
CO4 Lithium 5-11 18,59,6,False
CO4 Lithium 5-11 20,53,8,False
CO4 Lithium 5-11 20,58,7,False
CO4 Lithium 5-11 22,6,7,False
CO4 Lithium 5-11 22,13,7,False
CO4 Lithium 5-11 24,32,18,False
CO4 Lithium 5-11 29,68,6,False
CO4 Lithium 5-11 29,69,13,False
CO4 Lithium 5-11 30,33,9,False
CO4 Lithium 5-11 30,43,6,False
CO4 Lithium 5-11 30,52,12,False
CO4 Lithium 5-11 30,62,8,False
CO4 Lithium 5-11 32,86,6,False
CO4 Lithium 5-11 33,14,7,False
CO4 Lithium 5-11 33,23,6,False
CO4 Lithium 5-11 33,24,10,False
CO4 Lithium 5-11 33,26,6,False
CO4 Lithium 5-11 33,27,6,False
CO4 Lithium 5-11 33,33,6,False
CO4 Lithium 5-11 33,42,9,False
CO4 Lithium 5-11 33,53,9,False
CO4 Lithium 5-11 33,55,5,False
CO4 Lithium 5-11 35,62,8,False
CO4 Lithium 5-11 35,63,5,False
CO4 Lithium 5-11 35,72,6,False
CO4 Lithium 5-11 36,76,11,False
CO4 Lithium 5-11 36,77,8,False
CO4 Lithium 5-11 38,77,8,False
CO4 Lithium 5-11 38,85,5,False
CO4 Lithium 5-11 38,86,7,False
CO4 Lithium 5-11 38,87,10,False
CO4 Lithium 5-11 39,42,7,False
CO4 Lithium 5-11 40,84,8,False
CO4 Lithium 5-11 42,28,9,False
CO4 Lithium 5-11 42,38,8,False
CO4 Lithium 5-11 46,63,7,False
CO4 Lithium 5-11 50,66,9,False
NCO4 Control 5-11 1,14,7,False
NCO4 Control 5-11 1,15,6,False
NCO4 Control 5-11 1,24,11,False
NCO4 Control 5-11 1,33,6,False
