Image,Part,Count,Whitespace
ACO4 Control 5-6 10,87,0,False
ACO4 Control 5-6 29,85,2,False
ACO4 Control 5-6 47,38,6,False
ACO4 Control 5-6 47,74,6,False
AO4 Control 5-6 1,6,5,False
AO4 Control 5-6 1,15,0,False
AO4 Control 5-6 1,39,5,False
AO4 Control 5-6 16,49,6,False
AO4 Control 5-6 16,65,5,False
AO4 Control 5-6 16,74,4,False
AO4 Control 5-6 21,51,4,False
AO4 Control 5-6 22,38,4,False
AO4 Control 5-6 22,95,4,False
AO4 Control 5-6 26,86,0,False
AO4 Control 5-6 28,60,0,False
AO4 Control 5-6 29,27,5,False
AO4 Control 5-6 29,66,5,False
AO4 Control 5-6 37,86,6,False
AO4 Control 5-6 42,62,8,False
AO4 Control 5-6 45,36,5,False
AO4 Control 5-6 47,5,0,False
AO4 Control 5-6 47,6,1,False
AO4 Control 5-6 47,7,0,False
AO4 Control 5-6 48,78,6,False
AO4 Lithium 5-6 1,59,0,False
AO4 Lithium 5-6 8,16,6,False
AO4 Lithium 5-6 10,70,0,False
AO4 Lithium 5-6 17,76,3,False
AO4 Lithium 5-6 38,47,0,False
AO4 Lithium 5-6 38,57,0,False
AO4 Lithium 5-6 38,58,0,False
AO4 Lithium 5-6 41,37,6,False
CO4 Control 5-6 1,5,10,False
CO4 Control 5-6 2,6,5,False
CO4 Control 5-6 2,16,6,False
CO4 Control 5-6 2,24,13,False
CO4 Control 5-6 2,26,7,False
CO4 Control 5-6 3,24,5,False
CO4 Control 5-6 3,69,11,False
CO4 Control 5-6 3,85,7,False
CO4 Control 5-6 5,44,5,False
CO4 Control 5-6 5,45,4,False
CO4 Control 5-6 5,76,6,False
CO4 Control 5-6 5,78,6,False
CO4 Control 5-6 7,25,5,False
CO4 Control 5-6 7,69,7,False
CO4 Control 5-6 7,77,6,False
CO4 Control 5-6 7,85,7,False
CO4 Control 5-6 11,5,10,False
CO4 Control 5-6 12,73,7,False
CO4 Control 5-6 13,78,7,False
CO4 Control 5-6 13,87,35,False
CO4 Control 5-6 14,27,6,False
CO4 Control 5-6 14,53,6,False
CO4 Control 5-6 14,58,5,False
CO4 Control 5-6 14,84,5,False
CO4 Control 5-6 16,13,7,False
CO4 Control 5-6 16,14,6,False
CO4 Control 5-6 16,16,5,False
CO4 Control 5-6 16,27,6,False
CO4 Control 5-6 16,46,6,False
CO4 Control 5-6 18,13,6,False
CO4 Control 5-6 18,42,8,False
CO4 Control 5-6 19,13,7,False
CO4 Control 5-6 19,22,8,False
CO4 Control 5-6 19,24,7,False
CO4 Control 5-6 24,83,8,False
CO4 Control 5-6 24,87,4,False
CO4 Control 5-6 27,79,17,False
CO4 Control 5-6 27,85,15,False
CO4 Control 5-6 29,88,14,False
CO4 Control 5-6 32,28,6,False
CO4 Control 5-6 32,63,7,False
CO4 Control 5-6 33,83,7,False
CO4 Control 5-6 34,62,9,False
CO4 Control 5-6 34,88,11,False
CO4 Control 5-6 37,18,9,False
CO4 Control 5-6 37,28,8,False
CO4 Control 5-6 39,88,24,False
CO4 Control 5-6 40,15,9,False
CO4 Control 5-6 41,77,16,False
CO4 Control 5-6 43,86,18,False
CO4 Control 5-6 46,64,7,False
CO4 Control 5-6 46,76,7,False
CO4 Control 5-6 47,27,3,False
CO4 Control 5-6 47,73,5,False
CO4 Control 5-6 47,75,6,False
CO4 Control 5-6 47,76,8,False
CO4 Control 5-6 47,78,5,False
CO4 Control 5-6 47,85,10,False
CO4 Control 5-6 48,35,0,False
CO4 Control 5-6 49,41,8,False
CO4 Control 5-6 49,48,5,False
CO4 Control 5-6 49,68,5,False
CO4 Control 5-6 49,78,7,False
CO4 Control 5-6 49,82,8,False
CO4 Control 5-6 50,86,12,False
CO4 Lithium 5-6 1,7,8,False
CO4 Lithium 5-6 1,17,5,False
CO4 Lithium 5-6 1,24,4,False
CO4 Lithium 5-6 1,32,5,False
CO4 Lithium 5-6 1,39,6,False
CO4 Lithium 5-6 1,74,4,False
CO4 Lithium 5-6 1,77,6,False
CO4 Lithium 5-6 2,69,7,False
CO4 Lithium 5-6 2,76,8,False
CO4 Lithium 5-6 3,6,14,False
CO4 Lithium 5-6 3,73,7,False
CO4 Lithium 5-6 3,88,12,False
CO4 Lithium 5-6 4,27,7,False
CO4 Lithium 5-6 4,33,10,False
CO4 Lithium 5-6 4,43,17,False
CO4 Lithium 5-6 5,87,6,False
CO4 Lithium 5-6 6,37,2,False
CO4 Lithium 5-6 6,45,0,False
CO4 Lithium 5-6 6,47,0,False
CO4 Lithium 5-6 6,56,0,False
CO4 Lithium 5-6 8,46,5,False
CO4 Lithium 5-6 8,50,11,False
CO4 Lithium 5-6 9,36,4,False
CO4 Lithium 5-6 9,47,5,False
CO4 Lithium 5-6 9,48,7,False
CO4 Lithium 5-6 9,63,7,False
CO4 Lithium 5-6 9,77,7,False
CO4 Lithium 5-6 9,78,5,False
CO4 Lithium 5-6 9,84,4,False
CO4 Lithium 5-6 11,52,6,False
CO4 Lithium 5-6 12,66,10,False
CO4 Lithium 5-6 12,85,13,False
CO4 Lithium 5-6 12,86,3,False
CO4 Lithium 5-6 14,86,10,False
CO4 Lithium 5-6 14,94,0,False
CO4 Lithium 5-6 14,95,0,False
CO4 Lithium 5-6 15,16,7,False
CO4 Lithium 5-6 16,5,6,False
CO4 Lithium 5-6 16,77,8,False
CO4 Lithium 5-6 17,27,7,False
CO4 Lithium 5-6 17,53,4,False
CO4 Lithium 5-6 18,4,10,False
CO4 Lithium 5-6 18,79,7,False
CO4 Lithium 5-6 20,15,5,False
CO4 Lithium 5-6 20,27,9,False
CO4 Lithium 5-6 20,46,7,False
CO4 Lithium 5-6 20,77,5,False
CO4 Lithium 5-6 20,85,6,False
CO4 Lithium 5-6 21,15,0,False
CO4 Lithium 5-6 21,16,0,False
CO4 Lithium 5-6 21,17,0,False
CO4 Lithium 5-6 21,24,0,False
CO4 Lithium 5-6 21,27,1,False
CO4 Lithium 5-6 21,32,1,False
CO4 Lithium 5-6 21,34,0,False
CO4 Lithium 5-6 21,41,11,False
CO4 Lithium 5-6 21,44,0,False
CO4 Lithium 5-6 21,45,0,False
CO4 Lithium 5-6 21,48,0,False
CO4 Lithium 5-6 21,53,0,False
CO4 Lithium 5-6 21,66,0,False
CO4 Lithium 5-6 22,74,7,False
CO4 Lithium 5-6 23,84,9,False
CO4 Lithium 5-6 24,78,10,False
CO4 Lithium 5-6 25,14,6,False
CO4 Lithium 5-6 25,15,5,False
CO4 Lithium 5-6 27,24,8,False
CO4 Lithium 5-6 27,25,7,False
CO4 Lithium 5-6 27,73,11,False
CO4 Lithium 5-6 27,86,14,False
CO4 Lithium 5-6 28,16,6,False
CO4 Lithium 5-6 29,86,4,False
CO4 Lithium 5-6 30,16,4,False
CO4 Lithium 5-6 30,35,4,False
CO4 Lithium 5-6 30,38,4,False
CO4 Lithium 5-6 30,53,7,False
CO4 Lithium 5-6 31,16,6,False
CO4 Lithium 5-6 31,39,5,False
CO4 Lithium 5-6 31,52,4,False
CO4 Lithium 5-6 31,74,13,False
CO4 Lithium 5-6 31,85,8,False
CO4 Lithium 5-6 32,87,7,False
CO4 Lithium 5-6 34,85,4,False
CO4 Lithium 5-6 35,42,12,False
CO4 Lithium 5-6 35,73,8,False
CO4 Lithium 5-6 35,83,7,False
CO4 Lithium 5-6 36,69,7,False
CO4 Lithium 5-6 36,75,3,False
CO4 Lithium 5-6 37,18,14,False
CO4 Lithium 5-6 38,69,9,False
CO4 Lithium 5-6 39,32,1,False
CO4 Lithium 5-6 39,41,0,False
CO4 Lithium 5-6 39,49,8,False
CO4 Lithium 5-6 39,51,1,False
CO4 Lithium 5-6 39,62,1,False
CO4 Lithium 5-6 39,72,2,False
CO4 Lithium 5-6 39,84,3,False
CO4 Lithium 5-6 39,85,9,False
CO4 Lithium 5-6 39,96,0,False
CO4 Lithium 5-6 40,79,9,False
CO4 Lithium 5-6 40,84,6,False
CO4 Lithium 5-6 40,86,6,False
CO4 Lithium 5-6 40,87,13,False
CO4 Lithium 5-6 41,16,6,False
CO4 Lithium 5-6 41,17,9,False
CO4 Lithium 5-6 41,26,5,False
CO4 Lithium 5-6 41,27,6,False
CO4 Lithium 5-6 41,33,5,False
CO4 Lithium 5-6 44,74,5,False
CO4 Lithium 5-6 46,64,8,False
CO4 Lithium 5-6 46,66,3,False
CO4 Lithium 5-6 46,67,8,False
CO4 Lithium 5-6 46,74,9,False
CO4 Lithium 5-6 46,75,15,False
CO4 Lithium 5-6 47,62,8,False
CO4 Lithium 5-6 47,84,8,False
CO4 Lithium 5-6 49,51,8,False
CO4 Lithium 5-6 50,15,6,False
CO4 Lithium 5-6 50,16,9,False
CO4 Lithium 5-6 50,26,10,False
CO4 Lithium 5-6 50,53,5,False
CO4 Lithium 5-6 50,63,7,False
nCO4 Control 5-6 1,56,8,False
nCO4 Control 5-6 5,36,6,False
nCO4 Control 5-6 5,86,6,False
nCO4 Control 5-6 5,88,7,False
nCO4 Control 5-6 6,27,8,False
nCO4 Control 5-6 6,28,7,False
nCO4 Control 5-6 6,54,5,False
nCO4 Control 5-6 6,65,4,False
nCO4 Control 5-6 7,4,8,False
nCO4 Control 5-6 7,86,7,False
nCO4 Control 5-6 9,97,0,False
nCO4 Control 5-6 11,15,6,False
nCO4 Control 5-6 11,77,11,False
nCO4 Control 5-6 16,76,6,False
nCO4 Control 5-6 17,73,7,False
nCO4 Control 5-6 19,35,7,False
nCO4 Control 5-6 20,52,5,False
nCO4 Control 5-6 21,67,5,False
nCO4 Control 5-6 23,63,5,False
nCO4 Control 5-6 23,74,10,False
nCO4 Control 5-6 24,16,7,False
nCO4 Control 5-6 26,6,9,False
nCO4 Control 5-6 27,54,6,False
nCO4 Control 5-6 28,17,7,False
nCO4 Control 5-6 28,27,5,False
nCO4 Control 5-6 29,16,6,False
nCO4 Control 5-6 29,25,5,False
nCO4 Control 5-6 29,26,8,False
nCO4 Control 5-6 29,95,0,False
nCO4 Control 5-6 29,96,0,False
nCO4 Control 5-6 31,59,7,False
nCO4 Control 5-6 32,67,20,False
nCO4 Control 5-6 32,69,11,False
nCO4 Control 5-6 32,76,8,False
nCO4 Control 5-6 34,25,5,False
nCO4 Control 5-6 34,28,5,False
nCO4 Control 5-6 34,37,7,False
nCO4 Control 5-6 34,73,10,False
nCO4 Control 5-6 34,75,7,False
nCO4 Control 5-6 34,84,6,False
nCO4 Control 5-6 34,86,5,False
nCO4 Control 5-6 35,43,4,False
nCO4 Control 5-6 36,69,10,False
nCO4 Control 5-6 38,16,10,False
nCO4 Control 5-6 38,62,1,False
nCO4 Control 5-6 40,59,8,False
nCO4 Control 5-6 40,73,7,False
nCO4 Control 5-6 40,74,11,False
nCO4 Control 5-6 40,78,5,False
nCO4 Control 5-6 40,86,4,False
nCO4 Control 5-6 40,87,5,False
nCO4 Control 5-6 41,37,2,False
nCO4 Control 5-6 41,59,12,False
nCO4 Control 5-6 42,23,1,False
nCO4 Control 5-6 42,73,4,False
nCO4 Control 5-6 42,74,6,False
nCO4 Control 5-6 42,76,6,False
nCO4 Control 5-6 42,84,7,False
nCO4 Control 5-6 44,14,4,False
nCO4 Control 5-6 44,24,8,False
nCO4 Control 5-6 44,48,7,False
nCO4 Control 5-6 44,49,9,False
nCO4 Control 5-6 45,32,9,False
